CustomerKey,GeographyKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,YearlyIncome,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance
11131,50,Amanda,Rivera,05-Oct-86,M,F,"$30,000.00",0,High School,Skilled Manual,0,2,0-1 Miles
11132,51,Melissa,Richardson,30-Aug-98,S,F,"$30,000.00",0,High School,Skilled Manual,0,2,5-10 Miles
11133,542,Angela,Griffin,03-Apr-61,S,F,"$30,000.00",0,Partial High School,Clerical,0,2,0-1 Miles
11134,30,Larry,Townsend,13-Nov-84,S,M,"$10,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11135,302,Marcus,Harris,05-Jul-99,S,M,"$30,000.00",0,Partial High School,Clerical,0,2,5-10 Miles
11136,53,Brianna,Morgan,22-May-60,S,F,"$40,000.00",0,High School,Skilled Manual,0,2,0-1 Miles
11137,641,Jasmine,Taylor,30-Mar-94,M,F,"$40,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11138,325,Lauren,Davis,01-Dec-95,M,F,"$40,000.00",0,High School,Skilled Manual,0,2,0-1 Miles
11139,28,Tanya,Moreno,12-Sep-77,S,F,"$30,000.00",0,Partial College,Clerical,0,2,5-10 Miles
11140,301,Javier,Alvarez,27-Apr-80,S,M,"$30,000.00",0,Partial High School,Clerical,0,2,5-10 Miles
11141,314,Nicole,Ramirez,10-Feb-65,M,F,"$40,000.00",0,High School,Skilled Manual,0,2,0-1 Miles
11142,51,Eduardo,Patterson,04-Jun-82,S,M,"$40,000.00",0,High School,Skilled Manual,0,2,0-1 Miles
11143,334,Jonathan,Henderson,18-Dec-85,M,M,"$40,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11144,607,Edward,Hernandez,18-Jun-84,S,M,"$40,000.00",0,High School,Skilled Manual,0,2,0-1 Miles
11145,536,Jasmine,Coleman,28-Oct-60,S,F,"$40,000.00",0,High School,Skilled Manual,0,2,0-1 Miles
11146,8,Karla,Goel,18-Sep-96,S,F,"$40,000.00",0,Bachelors,Management,1,2,5-10 Miles
11147,40,Ernest,Wu,14-Jan-75,M,M,"$60,000.00",0,Graduate Degree,Management,1,1,0-1 Miles
11148,22,Ross,Vazquez,11-Aug-90,M,M,"$40,000.00",0,Bachelors,Management,1,2,5-10 Miles
11149,25,Theodore,Gill,15-Apr-89,M,M,"$40,000.00",0,Bachelors,Management,1,2,0-1 Miles
11150,39,Russell,Shen,14-May-75,S,M,"$40,000.00",0,Bachelors,Management,1,2,5-10 Miles
11151,18,Melinda,Gill,03-Jan-73,S,F,"$60,000.00",0,Graduate Degree,Management,0,1,0-1 Miles
11152,633,James,Williams,18-Sep-84,S,M,"$40,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11153,635,Angela,James,28-Feb-71,M,F,"$40,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11154,553,Megan,Walker,06-Dec-90,S,F,"$40,000.00",0,Partial College,Skilled Manual,1,1,5-10 Miles
11155,301,Hunter,Robinson,17-May-86,S,M,"$40,000.00",0,Partial College,Skilled Manual,0,1,1-2 Miles
11156,334,Maria,Roberts,13-Oct-94,S,F,"$40,000.00",0,Partial College,Skilled Manual,0,1,1-2 Miles
11157,642,Hannah,Long,22-Dec-79,M,F,"$40,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11158,361,Jason,Wright,29-Aug-65,S,M,"$40,000.00",0,High School,Skilled Manual,1,2,5-10 Miles
11159,385,Brianna,Hughes,16-Jun-64,S,F,"$40,000.00",0,High School,Skilled Manual,0,2,1-2 Miles
11160,311,Maurice,Tang,12-Dec-62,S,M,"$40,000.00",0,Partial College,Skilled Manual,0,1,5-10 Miles
11161,311,Emily,Wood,19-Feb-64,S,F,"$40,000.00",0,Partial College,Skilled Manual,0,1,1-2 Miles
11162,331,Chase,Cox,13-Jan-86,S,M,"$40,000.00",0,Partial College,Skilled Manual,1,1,5-10 Miles
11163,372,Gabriel,Wang,27-May-64,M,M,"$40,000.00",0,Partial College,Skilled Manual,1,1,5-10 Miles
11164,374,Devin,Brooks,05-Jul-89,S,M,"$40,000.00",0,Partial College,Skilled Manual,0,1,1-2 Miles
11165,348,Jocelyn,Alexander,09-Dec-79,M,F,"$60,000.00",0,Partial College,Skilled Manual,0,1,1-2 Miles
11166,631,Ashley,Martinez,01-Dec-78,S,F,"$70,000.00",0,Partial College,Skilled Manual,0,2,0-1 Miles
11167,618,Jasmine,Barnes,09-Apr-65,S,F,"$80,000.00",0,Bachelors,Management,0,1,0-1 Miles
11168,348,David,Rodriguez,19-Mar-92,S,M,"$80,000.00",0,Bachelors,Management,0,1,0-1 Miles
11169,312,Bryce,Richardson,04-Aug-77,M,M,"$90,000.00",4,Bachelors,Management,1,1,0-1 Miles
11170,612,Carol,Howard,09-Jul-82,M,F,"$90,000.00",4,Bachelors,Management,1,1,0-1 Miles
11171,385,Jonathan,Hill,03-Jul-85,S,M,"$100,000.00",0,Bachelors,Management,1,2,1-2 Miles
11172,626,Gabrielle,Adams,15-Sep-90,M,F,"$100,000.00",0,Bachelors,Management,1,2,1-2 Miles
11173,552,Sarah,Thomas,04-Apr-87,S,F,"$110,000.00",0,Graduate Degree,Management,0,4,0-1 Miles
11174,338,Nicholas,Robinson,26-Apr-77,M,M,"$110,000.00",1,Graduate Degree,Management,1,0,2-5 Miles
11175,300,Luis,Wang,05-Feb-70,S,M,"$70,000.00",0,Partial College,Skilled Manual,1,2,5-10 Miles
11176,50,Mason,Roberts,14-Mar-78,M,M,"$90,000.00",4,Bachelors,Management,1,1,1-2 Miles
11177,359,Jose,Flores,06-Oct-62,M,M,"$110,000.00",4,Graduate Degree,Management,1,2,5-10 Miles
11178,334,Nathan,Johnson,02-Oct-69,M,M,"$100,000.00",3,Graduate Degree,Management,1,3,1-2 Miles
11179,300,Molly,Rodriguez,11-Mar-84,M,F,"$120,000.00",4,Graduate Degree,Management,1,3,5-10 Miles
11180,307,April,Anand,09-Dec-88,M,F,"$160,000.00",3,Bachelors,Management,1,4,0-1 Miles
11181,338,Devin,Martin,29-Dec-75,M,M,"$170,000.00",3,Graduate Degree,Management,1,2,0-1 Miles
11182,638,Stephanie,Torres,31-May-81,S,F,"$70,000.00",0,Bachelors,Management,1,2,10+ Miles
11183,368,Jasmine,Lee,29-Sep-66,S,F,"$70,000.00",0,Bachelors,Management,1,2,10+ Miles
11184,311,Meghan,Hernandez,22-Jul-92,S,F,"$70,000.00",0,Bachelors,Management,1,2,10+ Miles
11185,53,Ashley,Henderson,20-Jan-81,S,F,"$70,000.00",0,Bachelors,Management,1,2,10+ Miles
11186,352,Sarah,Price,12-Feb-90,S,F,"$70,000.00",0,Bachelors,Management,1,2,10+ Miles
11187,612,Jennifer,Cooper,19-Jan-88,M,F,"$60,000.00",0,Graduate Degree,Management,1,2,10+ Miles
11188,361,Catherine,Morris,08-Mar-68,M,F,"$60,000.00",0,Graduate Degree,Management,0,2,1-2 Miles
11189,609,Lawrence,Blanco,18-Apr-65,S,M,"$60,000.00",0,Graduate Degree,Management,1,2,10+ Miles
11190,300,Carson,Bryant,09-Sep-81,M,M,"$70,000.00",0,Bachelors,Management,1,2,10+ Miles
11191,310,Kristi,Perez,22-Feb-69,S,F,"$70,000.00",0,Bachelors,Management,1,3,10+ Miles
11192,637,James,Brown,31-Mar-81,M,M,"$60,000.00",0,Bachelors,Management,1,2,2-5 Miles
11193,553,Ian,Gray,20-Apr-99,M,M,"$60,000.00",0,Bachelors,Management,1,2,2-5 Miles
11194,352,Jacqueline,Price,09-Sep-88,M,F,"$60,000.00",0,Bachelors,Management,1,2,2-5 Miles
11195,635,Megan,Henderson,28-Apr-84,M,F,"$60,000.00",0,Bachelors,Management,1,3,10+ Miles
11196,536,Alfredo,Romero,22-May-80,M,M,"$60,000.00",0,Bachelors,Management,1,3,10+ Miles
11197,637,Andrea,Morris,03-Mar-73,M,F,"$70,000.00",1,Bachelors,Management,0,1,1-2 Miles
11198,368,Brooke,Sanders,25-Jul-79,S,F,"$70,000.00",1,Bachelors,Management,1,1,10+ Miles
11199,302,Jacqueline,Bennett,07-Nov-95,M,F,"$70,000.00",1,Bachelors,Management,1,1,10+ Miles
11200,69,Jason,Griffin,04-Apr-63,M,M,"$70,000.00",1,Bachelors,Management,1,1,1-2 Miles
11201,369,Amanda,Foster,30-Aug-86,M,F,"$70,000.00",1,Bachelors,Management,1,1,10+ Miles
11202,334,Alexia,Price,06-Sep-91,M,F,"$80,000.00",0,Bachelors,Management,0,2,1-2 Miles
11203,60,Luis,Diaz,12-Sep-68,M,M,"$40,000.00",1,High School,Professional,1,2,10+ Miles
11204,536,Destiny,Rivera,24-Mar-96,M,F,"$40,000.00",1,High School,Professional,1,2,2-5 Miles
11205,612,Abby,Fernandez,07-Sep-86,M,F,"$40,000.00",1,High School,Professional,1,2,10+ Miles
11206,626,Blake,Flores,18-Oct-91,M,M,"$60,000.00",1,Partial College,Professional,1,1,10+ Miles
11207,635,Danielle,Cox,09-Nov-92,S,F,"$60,000.00",1,Partial College,Professional,1,1,10+ Miles
11208,325,Maria,Reed,09-May-90,M,F,"$60,000.00",1,Bachelors,Management,1,0,10+ Miles
11209,336,Allison,Evans,24-Mar-84,M,F,"$60,000.00",1,Bachelors,Management,1,0,10+ Miles
11210,383,Edward,Wood,02-Apr-85,M,M,"$70,000.00",1,Partial College,Professional,1,2,10+ Miles
11211,50,Samantha,Russell,20-Jul-96,M,F,"$40,000.00",1,High School,Professional,1,2,2-5 Miles
11212,53,Chloe,Campbell,26-Oct-97,M,F,"$40,000.00",1,High School,Professional,1,2,2-5 Miles
11213,614,Stephanie,Murphy,25-Jul-91,S,F,"$60,000.00",1,Partial College,Professional,1,2,10+ Miles
11214,545,Charles,Miller,29-Apr-65,S,M,"$60,000.00",1,Partial College,Professional,1,2,10+ Miles
11215,62,Ana,Perry,28-Nov-66,M,F,"$40,000.00",1,Partial High School,Skilled Manual,1,2,10+ Miles
11216,547,Jasmine,Torres,09-Dec-60,S,F,"$60,000.00",1,Partial College,Professional,1,2,10+ Miles
11217,547,Natalie,Adams,23-Jan-99,S,F,"$60,000.00",1,Partial College,Professional,1,2,10+ Miles
11218,642,Olivia,Brown,09-Jul-67,S,F,"$60,000.00",1,Partial College,Professional,0,2,2-5 Miles
11219,553,Charles,Cook,06-Apr-74,M,M,"$60,000.00",1,High School,Professional,1,2,10+ Miles
11220,310,Erica,Huang,27-Feb-69,M,F,"$60,000.00",1,Partial College,Professional,1,1,10+ Miles
11221,334,Nathan,Perry,15-Aug-83,M,M,"$70,000.00",2,Partial College,Professional,1,1,1-2 Miles
11222,369,Alexandra,Rivera,26-Jan-61,M,F,"$80,000.00",1,Bachelors,Management,1,1,1-2 Miles
11223,52,Hailey,Patterson,25-Feb-79,S,F,"$70,000.00",1,High School,Professional,1,2,2-5 Miles
11224,612,Tiffany,Li,17-Jan-68,S,F,"$70,000.00",1,High School,Professional,1,2,10+ Miles
11225,635,Madison,Lee,06-Dec-76,M,F,"$60,000.00",1,Partial College,Professional,1,1,10+ Miles
11226,552,Sydney,Ross,30-Oct-99,M,F,"$60,000.00",1,Partial College,Professional,1,1,2-5 Miles
11227,310,Marshall,Chavez,27-May-64,S,M,"$60,000.00",1,Partial College,Professional,1,2,10+ Miles
11228,316,Ashley,Jones,29-Jul-66,M,F,"$60,000.00",1,Partial College,Professional,1,2,10+ Miles
11229,355,Adrian,Stewart,21-Aug-78,S,M,"$70,000.00",2,Partial College,Professional,1,1,10+ Miles
11230,369,Amber,Turner,17-Apr-87,M,F,"$70,000.00",2,Partial College,Professional,0,2,2-5 Miles
11231,611,Dennis,Zhang,11-Dec-95,M,M,"$60,000.00",1,High School,Professional,1,2,10+ Miles
11232,616,Hailey,Bryant,19-Dec-82,M,F,"$60,000.00",1,High School,Professional,0,2,2-5 Miles
11233,299,Todd,Li,29-Mar-80,M,M,"$70,000.00",2,Partial College,Professional,1,2,10+ Miles
11234,337,Anna,Griffin,26-Nov-84,S,F,"$70,000.00",2,Partial College,Professional,1,2,10+ Miles
